libwayland-client-devel-1.6.0-1.fc21.x86_64,wayland-1.6.0-1.fc21.src.rpm
xorg-x11-xtrans-devel-1.3.5-1.fc21.noarch,xorg-x11-xtrans-devel-1.3.5-1.fc21.src.rpm
xorg-x11-proto-devel-7.7-12.fc21.noarch,xorg-x11-proto-devel-7.7-12.fc21.src.rpm
xcb-util-devel-0.3.9-5.fc21.x86_64,xcb-util-0.3.9-5.fc21.src.rpm
libXdmcp-devel-1.1.1-7.fc21.x86_64,libXdmcp-1.1.1-7.fc21.src.rpm
libXmu-devel-1.1.2-2.fc21.x86_64,libXmu-1.1.2-2.fc21.src.rpm
libXtst-devel-1.2.2-4.fc21.x86_64,libXtst-1.2.2-4.fc21.src.rpm
libepoxy-devel-1.2-0.1.20140307gitd4ad80f.fc21.x86_64,libepoxy-1.2-0.1.20140307gitd4ad80f.fc21.src.rpm
wayland-devel-1.6.0-1.fc21.x86_64,wayland-1.6.0-1.fc21.src.rpm
xcb-util-image-devel-0.3.9-5.fc21.x86_64,xcb-util-image-0.3.9-5.fc21.src.rpm
xcb-util-keysyms-devel-0.3.9-5.fc21.x86_64,xcb-util-keysyms-0.3.9-5.fc21.src.rpm
libXres-devel-1.0.7-4.fc21.x86_64,libXres-1.0.7-4.fc21.src.rpm
libdmx-devel-1.1.3-4.fc21.x86_64,libdmx-1.1.3-4.fc21.src.rpm
libXfont-devel-1.5.0-2.fc21.x86_64,libXfont-1.5.0-2.fc21.src.rpm
libXv-devel-1.0.10-2.fc21.x86_64,libXv-1.0.10-2.fc21.src.rpm
libXinerama-devel-1.1.3-4.fc21.x86_64,libXinerama-1.1.3-4.fc21.src.rpm
libunwind-devel-1.1-7.fc21.x86_64,libunwind-1.1-7.fc21.src.rpm
libfontenc-devel-1.1.2-2.fc21.x86_64,libfontenc-1.1.2-2.fc21.src.rpm
libxshmfence-devel-1.1-3.fc21.x86_64,libxshmfence-1.1-3.fc21.src.rpm
